year,head_no,subhead_name,subhead_no,item_no,title,note_actual,note_original,note_revised,note_estimate,reimbursement,actual,approved,revised,estimate
2006,1,Hydrocarbon oils,010,,,,,,,,3417483,3585379,3327045,3432631
2006,1,Alcoholic beverages,020,,,,,,,,816955,855565,881920,951197
2006,1,Other alcohol products,030,,,,,,,,6164,4713,5247,5247
2006,1,Tobacco,050,,,,,,,,2362328,2195666,2309093,2213028
2006,2,General Rates,030,,,,,,,,12640083,13771000,13816000,15361000
2006,3,Bets and sweeps tax,010,,,,,,,,12057187,11890000,11890000,11932500
2006,3,Profits tax,030,020,Earnings and profits tax,,,,,,58639653,60500000,69000000,70700000
2006,3,Personal assessment,030,030,Earnings and profits tax,,,,† After Budget measures but subject to the passing of the relevant legislation by the Legislative Council.,,2963409,3100000,3100000,3170000
2006,3,Property tax,030,040,Earnings and profits tax,,,,,,1115605,1100000,1200000,1300000
2006,3,Salaries tax,030,050,Earnings and profits tax,,,,,,33990543,34740000,37000000,37050000
2006,3,Estate duty,050,,Earnings and profits tax,,,,,,1468373,1000000,1200000,160000
2006,3,Hotel accommodation tax,060,,Earnings and profits tax,,,,,,247402,270000,310000,340000
2006,3,Stamp duties,070,,Earnings and profits tax,,,,,,15851460,16300000,16300000,14800000
2006,3,Air passenger departure tax,080,,Earnings and profits tax,,,,,,1350135,1423000,1439576,1543313
2006,4,First registration,010,,,,,,,,3416794,3888239,3872708,4016927
2006,5,Court fines and statutory penalties,010,,,,,,,,501766,507653,502239,502729
2006,5,Forfeitures,020,,,,,,,,61329,42733,47448,47336
2006,5,Fixed penalty system (Traffic Contraventions) .,030,,,,,,,,185405,180892,190687,190655
2006,5,Fixed penalty system (Criminal Proceedings),040,,,,,,,,197948,191768,198921,198921
2006,5,Payments by civil servants,050,,,,,,,,2555,1961,2891,2301
2006,6,Quarries and mining,020,,,,,,,,21481,28100,27000,23300
2006,6,Bridges and tunnels,030,,,,,,,,184826,15425,15085,15799
2006,6,Petrol filling,070,,,,,,,,7635,6097,6016,5817
2006,6,Taxi concessions,080,,,,,,,,,10000,,10000
2006,6,Television broadcasting,090,,,,,,,,,,1237,
2006,6,Parking,100,,,,,,,,321718,330578,319475,318688
2006,6,Vehicle examination,170,,,,,,,,58454,60229,63130,63130
2006,6,Slaughterhouse concessions,201,,,,,,,,16500,16500,16500,16500
2006,6,Other royalties and concessions,202,,,,,,,,164093,187486,176242,174529
2006,7,"Government land licences, government rents (other than those charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515) ) and rents from short term tenancies",010,,,,,,,,1406284,1366897,1320618,1361230
2006,7,Rents from government quarters,020,,,,,,,,646240,605031,629946,579054
2006,7,Rents from government properties,030,,,,,,,,1074274,866844,952195,958177
2006,7,Investment income and interest,040,,,,,,,,4915956,4785175,3836014,6408722
2006,7,Returns on equity investments in statutory agencies/corporations,060,,,,,,,,1652176,1767769,1931717,1841116
2006,7,Recovery from Housing Authority under current financial arrangement,080,,,,,,,,38211,29301,29301,77970
2006,7,Government rents charged at 3% of rateable values in accordance with the Government Rent (Assessment and Collection) Ordinance (Cap. 515),090,,,,,,,,3930629,4323000,4507000,4856000
2006,9,Repayments of loans and advances,010,,,,,,,,205508,201798,202647,119101
2006,9,Pension contributions,020,,,,,,,,20187,18364,18264,16411
2006,9,Recovery of salaries and staff on-costs,030,,,,,,,,2298414,2184037,2142904,2096897
2006,9,Light and fuel in government buildings,040,,,,,,,,16972,17824,19550,24422
2006,9,Recovery of overpayments and losses,050,,,,,,,,678700,499750,540327,394682
2006,9,Transfers from Funds,080,,,,,,,,44500000,5500000,,6900000
2006,9,Other receipts,090,,,,,,,,1980915,3766395,2801562,3643317
2006,9,Payments in lieu of profits tax,110,001,Payments made by Trading Funds,,,,,,6883,58329,95778,64490
2006,9,Payments for “insurance” premium,110,002,Payments made by Trading Funds,,,,,,2833,2801,2829,2856
2006,9,Reimbursements by trading funds arising from policy on “insurance”,110,003,Payments made by Trading Funds,,,,,,301,224,163,163
2006,10,Berthing fee,040,010,Marine ferry terminals,,,,,,38796,37963,40993,45921
2006,10,Embarkation fee,040,020,Marine ferry terminals,,,,,,186643,156361,182299,162405
2006,10,Others,040,030,Marine ferry terminals,,,,,,5650,5586,5593,5596
2006,10,Chargeable water,070,010,Waterworks,,,,,,2467137,2452735,2470000,2520000
2006,10,Fees and licences,070,020,Waterworks,,,,,,11562,11585,11000,11000
2006,10,Others,070,040,Waterworks,,,,,,9257,10067,10900,24200
2006,10,Sewage charge,080,010,Sewage services,,,,,,466841,476035,476035,484600
2006,10,Trade effluent surcharge,080,020,Sewage services,,,,,,212788,223250,205100,208400
2006,10,Others,080,030,Sewage services,,,,,,2819,2797,2292,2292
