year,head_no,subhead_no,subhead_name,reimbursements,item_no,title,actual,revised,estimate
2006,21,000,Operational expenses,"",,Recurrent,60397,62657,72296
2006,22,000,Operational expenses,"",,Recurrent,661251,653556,693568
2006,22,600,Works,"",,"Plant, Equipment and Works",5754,7297,6040
2006,22,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",5135,4255,744
2006,22,609,Minor irrigation works in the New Territories (block vote),"",,"Plant, Equipment and Works",607,1400,1400
2006,22,610,Minor recreational facilities and roadworks in country parks (block vote),"",,"Plant, Equipment and Works",7126,8644,8644
2006,22,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1588,3867,2563
2006,22,700,Minor conservation projects and studies (block vote),"",,Non-Recurrent,6450,,
2006,22,700,General non-recurrent,"",,Non-Recurrent,73460,86261,243377
2006,23,000,Operational expenses,"",,Recurrent,60770,60349,59000
2006,23,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",522,,
2006,24,000,Operational expenses,"",,Recurrent,117441,113471,115872
2006,25,000,Operational expenses,"",,Recurrent,1396842,1366877,1348543
2006,25,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",580,,1044
2006,25,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",2436,,
2006,25,,General non-recurrent,"",,Non-Recurrent,924,,
2006,26,000,Operational expenses,"",,Recurrent,462316,476944,529519
2006,26,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",70,10,33
2006,27,000,Operational expenses,"",,Recurrent,73616,72600,72500
2006,28,000,Operational expenses,"",,Recurrent,585805,624776,622986
2006,28,170,Airport insurance,"",,Recurrent,12887,12100,12733
2006,28,700,General non-recurrent,"",,Non-Recurrent,1807,2137,250
2006,30,000,Operational expenses,"",,Recurrent,2346264,2265100,2267428
2006,30,118,Provisions for institutions,"",,Recurrent,55328,62377,63495
2006,30,193,Prisoners’ earning scheme,"",,Recurrent,33356,31500,32000
2006,30,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",1211,6900,7500
2006,30,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3199,5389,7951
2006,30,700,General non-recurrent,"",,Non-Recurrent,1677,1000,1352
2006,31,000,Operational expenses,"",,Recurrent,1782996,1748575,1915242
2006,31,103,Rewards and special services,"",,Recurrent,8820,9000,9000
2006,31,292,Seizure management,"",,Recurrent,42391,45000,45000
2006,31,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",5601,10963,5999
2006,31,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",13443,6534,
2006,31,700,General non-recurrent,"",,Non-Recurrent,167,190,199
2006,33,000,Operational expenses,"",,Recurrent,822050,1018107,1282768
2006,33,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,,3961
2006,33,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3314,420,4158
2006,33,700,General non-recurrent,"",,Non-Recurrent,3406,2139,1926
2006,35,000,Operational expenses,"",,Recurrent,37790,44459,47369
2006,37,000,Operational expenses,"",,Recurrent,2805361,2770584,2847274
2006,37,003,Recoverable salaries and allowances (General),1156894,,Recurrent,,,
2006,37,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",4995,1500,6400
2006,37,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3676,16637,15485
2006,37,700,General non-recurrent,"",,Non-Recurrent,16998,47597,191400
2006,37,974,"Subvented institutions - maintenance, repairs and minor improvements (block vote)","",,Subventions,511,153,943
2006,37,975,"Subvented institutions - minor plant, vehicles and equipment (block vote)","",,Subventions,,,450
2006,39,000,Operational expenses,"",,Recurrent,1582159,1530728,1547894
2006,39,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",6179,7704,4654
2006,39,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",13456,15085,17400
2006,39,661,Works,"",,"Plant, Equipment and Works",2759,,
2006,39,700,General non-recurrent,"",,Non-Recurrent,2249,922,3280
2006,42,000,Operational expenses,"",,Recurrent,218978,210018,213211
2006,42,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,50500,71800
2006,42,700,General non-recurrent,"",,Non-Recurrent,10302,5938,4685
2006,44,000,Operational expenses,"",,Recurrent,852030,865571,913696
2006,44,297,Fees for operation of waste facilities,"",,Recurrent,1115986,1117000,1108605
2006,44,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1226,,1814
2006,44,700,General non-recurrent,"",,Non-Recurrent,167806,91977,20421
2006,45,000,Operational expenses,"",,Recurrent,2923686,2874728,2940563
2006,45,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",86642,62917,55730
2006,45,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",26691,22652,24025
2006,45,700,General non-recurrent,"",,Non-Recurrent,491,373,667
2006,46,001,Salaries,"",,Recurrent,158251,217316,233107
2006,46,003,Recoverable salaries and allowances (General),597,,Recurrent,,,
2006,46,006,Recoverable salaries and allowances (Companies Registry Trading Fund),100400,,Recurrent,,,
2006,46,008,Recoverable salaries and allowances (Hong Kong Monetary Authority),27829,,Recurrent,,,
2006,46,009,Recoverable salaries and allowances (Land Registry Trading Fund),152543,,Recurrent,,,
2006,46,010,Recruiting expenses,"",,,481,550,760
2006,46,011,Civil service examinations,"",,,3099,4710,4716
2006,46,013,Personal allowances,"",,,918882,967701,1034278
2006,46,014,Home purchase allowance,"",,,931305,874271,894000
2006,46,020,Payments to estates of deceased officers,"",,,13904,16500,16500
2006,46,022,Passages,"",,,202756,239557,247686
2006,46,023,Quartering,"",,,21088,56175,51137
2006,46,024,Relief and welfare of civil servants,"",,,1291,1043,1780
2006,46,025,Long and Meritorious Service Travel Award Scheme,"",,,48110,53444,58042
2006,46,027,Staff Suggestions and Motivation Schemes,"",,,74,120,70
2006,46,028,Legal assistance,"",,,332,1448,1448
2006,46,032,Accommodation Allowance Scheme,"",,,25647,20896,20400
2006,46,033,Home Financing Scheme,"",,,2015897,1653348,1489000
2006,46,037,Pensioners’ welfare fund,"",,,909,910,910
2006,46,038,Private tenancy allowance,"",,,142733,136998,138000
2006,46,039,Rent Allowance Scheme,"",,,1262,600,850
2006,46,040,Non-accountable Cash Allowance Scheme,"",,,13707,17518,20500
2006,46,041,Mandatory Provident Fund contribution,"",,,25,34,34
2006,46,081,Recoverable salaries and allowances (Office of the Telecommunications Authority Trading Fund),111000,,Recurrent,,,
2006,46,082,Recoverable salaries and allowances (Post Office Trading Fund),1408000,,Recurrent,,,
2006,46,083,Recoverable salaries and allowances (Electrical and Mechanical Services Trading Fund),1059000,,Recurrent,,,
2006,46,084,Recoverable salaries and allowances (Legal Aid Services Council),2049,,Recurrent,,,
2006,47,000,Operational expenses,"",,Recurrent,503168,530192,563613
2006,47,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,,700
2006,47,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",660,,
2006,48,000,Operational expenses,"",,Recurrent,228400,218615,218825
2006,48,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",6283,768,16150
2006,48,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",5549,9687,10182
2006,49,000,Operational expenses,"",,Recurrent,3472248,3348465,3856145
2006,49,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",143,1870,
2006,49,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",3595,7355,46587
2006,49,700,General non-recurrent,"",,Non-Recurrent,341390,319022,41952
2006,51,000,Operational expenses,"",,Recurrent,1546296,1626874,1694069
2006,51,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",14208,14166,17800
2006,53,000,Operational expenses,"",,Recurrent,652885,654884,740120
2006,53,003,Recoverable salaries and allowances (General),4279,,Recurrent,,,
2006,53,700,General non-recurrent,"",,Non-Recurrent,1831,556,2060
2006,53,942,Hong Kong Academy for Performing Arts,"",,Subventions,,60,4607
2006,53,973,"Hong Kong Academy for Performing Arts - minor plant, vehicles and equipment (block vote)","",,Subventions,7551,7494,7758
2006,53,973,Hong Kong Arts Development Council,"",,Subventions,57,228,
2006,55,000,Operational expenses,"",,Recurrent,62859,47391,60680
2006,55,700,General non-recurrent,"",,Non-Recurrent,12389,14868,61434
2006,59,000,Operational expenses,"",,Recurrent,349467,351703,358121
2006,59,003,Recoverable salaries and allowances (General),10119,,Recurrent,,,
2006,59,224,Motor Insurers’ Bureau - government contribution,"",,Recurrent,84,88,88
2006,59,225,Traffic accident victims assistance scheme - levies,"",,Recurrent,802,787,787
2006,59,226,Allocated stores: local landing charges,"",,Recurrent,12,20,20
2006,59,267,Unallocated stores: suspense account adjustment,"",,Recurrent,,1,1
2006,59,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1413,1448,1428
2006,59,691,General purpose vehicles (block vote),"",,"Plant, Equipment and Works",89991,90000,90000
2006,59,,General non-recurrent,"",,Non-Recurrent,1410,,
2006,60,000,Operational expenses,"",,Recurrent,1768424,1752674,1777608
2006,60,272,Electricity for public lighting,"",,Recurrent,162579,175721,170733
2006,60,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1828,2685,1809
2006,60,700,General non-recurrent,"",,Non-Recurrent,1379,793,603
2006,62,000,Operational expenses,"",,Recurrent,332952,254178,88827
2006,62,003,Recoverable salaries and allowances (General),2809075,,Recurrent,,,
2006,63,000,Operational expenses,"",,Recurrent,1132400,1151300,1214434
2006,63,654,Local public works (block vote),"",,"Plant, Equipment and Works",31735,34756,33500
2006,63,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",6305,9904,10180
2006,63,661,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",4610,,
2006,63,700,General non-recurrent,"",,Non-Recurrent,22483,15637,2675
2006,70,000,Operational expenses,"",,Recurrent,2223879,2195066,2317535
2006,70,202,Repatriation expenses,"",,Recurrent,6778,7050,7077
2006,70,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",,1900,17100
2006,70,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",,1960,220
2006,72,000,Operational expenses,"",,Recurrent,660548,623616,652570
2006,72,103,Rewards and special services,"",,Recurrent,14766,15268,15268
2006,72,203,"Expenses of witnesses, suspects and detainees","",,Recurrent,656,624,624
2006,72,,General non-recurrent,"",,Non-Recurrent,139,,
2006,72,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",1539,870,
2006,74,000,Operational expenses,"",,Recurrent,304421,322124,346736
2006,74,,General non-recurrent,"",,Non-Recurrent,6599,,
2006,74,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",572,,
2006,76,000,Operational expenses,"",,Recurrent,1066119,1051507,1069384
2006,76,189,Interest on tax reserve certificates,"",,Recurrent,4996,33726,110200
2006,76,209,Special legal expenses,"",,Recurrent,7922,7500,7450
2006,76,,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",211,2267,
2006,78,000,Operational expenses,"",,Recurrent,54841,64322,73335
2006,78,700,General non-recurrent,"",,Non-Recurrent,22431,15970,13156
2006,78,700,Publicity and educational programmes (block vote),"",,Non-Recurrent,6978,,
2006,79,000,Operational expenses,"",,Recurrent,45216,63683,63563
2006,79,700,General non-recurrent,"",,Non-Recurrent,141210,42500,42500
2006,79,700,Investment promotion (block vote),"",,Non-Recurrent,21000,,
2006,80,000,Operational expenses,"",,Recurrent,858200,868550,925511
2006,80,206,Expenses of witnesses and jurors,"",,Recurrent,6416,6630,7530
2006,80,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",516,835,634
2006,80,613,Law library acquisitions (block vote),"",,"Plant, Equipment and Works",12292,14000,14000
2006,80,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",948,250,1413
2006,80,661,Works,"",,"Plant, Equipment and Works",361,56,
2006,80,700,General non-recurrent,"",,Non-Recurrent,2274,2599,3622
2006,82,000,Operational expenses,"",,Recurrent,699570,712349,737529
2006,82,227,Payment for Land Registry/Companies Registry Trading Fund services,"",,Recurrent,27869,35720,36490
2006,82,700,General non-recurrent,"",,Non-Recurrent,8308,9755,4895
2006,90,000,Operational expenses,"",,Recurrent,827761,787673,839828
2006,90,280,Contribution to the Occupational Safety and Health Council,"",,Recurrent,4021,3300,3300
2006,90,295,Contribution to the Occupational Deafness Compensation Board,"",,Recurrent,2413,1980,1980
2006,90,700,General non-recurrent,"",,Non-Recurrent,145846,146236,130500
2006,91,000,Operational expenses,"",,Recurrent,1408955,1381076,1592982
2006,91,003,Recoverable salaries and allowances (General),29933,,Recurrent,,,
2006,91,221,Clearance of government land - ex-gratia allowances,"",,Recurrent,788,5847,6200
2006,91,600,Works,"",,"Plant, Equipment and Works",1379,717,900
2006,91,661,"Minor plant, vehicles and equipment (block vote)","",,"Plant, Equipment and Works",895,1095,885
2006,91,700,General non-recurrent,"",,Non-Recurrent,5272,2300,5095
2006,91,700,Cleaning up of black spots in N.T. (block vote),"",,Non-Recurrent,65,,
2006,92,000,Operational expenses,"",,Recurrent,728848,745459,771942
2006,92,003,Recoverable salaries and allowances (General),5275,,Recurrent,,,
2006,92,234,Court costs,"",,Recurrent,106030,104929,103000
2006,92,700,General non-recurrent,"",,Non-Recurrent,3225,6202,4657
2006,94,000,Operational expenses,"",,Recurrent,225903,216354,217355
2006,94,208,Legal aid costs,"",,Recurrent,401350,466158,531136
2006,95,000,Operational expenses,"",,Recurrent,4722239,4777313,4884365
2006,95,600,Works,"",,"Plant, Equipment and Works",2993,26394,37861
2006,95,603,"Plant, vehicles and equipment","",,"Plant, Equipment and Works",20784,17884,33025
2006,95,653,Restoration of monuments (block vote),"",,"Plant, Equipment and Works",615,1918,1918
