head_no,programme_no,year_start,year_end,programme_aim
21,1,2006,2011,The aim is to provide support to the Chief Executive in policy formulation and delivery of pledges made in the Policy Address; to plan and implement arrangements for the Chief Executive’s public and social engagements; to co-ordinate the Government’s media and public relations strategy; and to ensure the efficient management of the Government House and the Chief Executive’s country residence at Fanling.
21,1,2012,2014,"The aim is to provide support to the Chief Executive in policy formulation and delivery of pledges made in the Policy Address; to plan and implement arrangements for the Chief Executive’s public and social engagements; to co-ordinate the Government’s media and public relations strategy; and to ensure the efficient management of the Chief Executive’s Office building, the Government House and the Chief Executive’s country residence at Fanling."
21,2,2006,2014,The aim is to ensure the smooth operation of the Executive Council.
22,1,2006,2014,The aim is to facilitate agricultural and fisheries production and improve productivity.
22,2,2006,2014,"The aim is to conserve flora, fauna and natural habitats; to designate and manage country parks, special areas, marine parks and marine reserves; and to control international trade in endangered species of animals and plants in Hong Kong."
22,3,2006,2007,"The aim is to monitor the welfare of, and control the diseases in, animals and plants through enforcement of relevant legislation; protect public health; protect and regulate fisheries; and provide technical services."
22,3,2008,2011,"The aim is to monitor the welfare of animals, and control the diseases in animals and plants through the enforcement of relevant legislation; protect public health; protect and regulate fisheries; and provide technical services."
22,3,2012,2012,The aim is to safeguard the welfare of animals and control the diseases in animals and plants through the enforcement of relevant legislation; protect public health; protect and regulate fisheries; and provide technical services.
22,3,2013,2014,"The aim is to safeguard the welfare of animals, and control the diseases in animals and plants through the enforcement of relevant legislation; protect public health; protect and regulate fisheries; and provide technical services."
23,1,2006,2014,"The aim is to augment the existing medical and health services for maintaining the health care and well-being of the territory, especially in times of emergency, having regard to internal security considerations."
24,1,2006,2014,The aim is to provide the Legislative Council with an overall assurance that the Government’s financial and accounting transactions and those of funds of a public or quasi-public nature are proper and that they conform to accepted accounting standards.
24,2,2006,2010,"The aim is to provide the Legislative Council with independent information, advice and assurance about the economy, efficiency and effectiveness with which any bureau/department of the Government, agency, other public body, public office, or audited organisation has discharged its functions."
24,2,2011,2014,"The aim is to provide the Legislative Council with independent information, advice and assurance about the economy, efficiency and effectiveness with which any bureau/department of the Government, agency, other public body, public office or audited organisation has discharged its functions."
25,1,2006,2006,The aim is to provide effective professional and technical advice to the Government and quasi-government organisations and to oversee subvented and joint-venture projects.
25,1,2007,2014,"The aim is to provide effective professional and technical advice to the Government and quasi-government organisations and to oversee subvented, joint-venture and entrusted projects."
25,2,2006,2014,The aim is to provide efficient and cost-effective professional and project management services for the maintenance and refurbishment of buildings and facilities.
25,3,2006,2014,"The aim is to provide efficient, cost-effective and timely architectural and associated professional and project management services for the design and construction of buildings and related facilities."
26,1,2006,2006,"The aim is to process trade declarations and cargo manifests, to safeguard the Government’s revenue from import and export declaration charges and to produce and analyse trade statistics."
26,1,2007,2014,"The aim is to process import/export declarations and cargo manifests, to safeguard the Government’s revenue from import/export declaration charges, and to produce and analyse trade statistics."
26,2,2006,2006,"The aim is to produce and analyse demographic, labour force and social statistics and to maintain a register of quarters as a sampling frame for conducting household surveys."
26,2,2007,2014,"The aim is to produce and analyse demographic, labour force and social statistics, and to maintain a register of quarters as a sampling frame for conducting household surveys."
26,3,2006,2006,"The aim is to produce and analyse Gross Domestic Product (GDP), Gross National Product (GNP) and Balance of Payments (BoP) and related statistics in a timely and accurate manner, and to assist in the preparation of Government’s forecasts of various economic aggregates."
26,3,2007,2007,"The aim is to produce and analyse Gross Domestic Product (GDP), Gross National Product (GNP), Balance of Payments (BoP) and related statistics in a timely and accurate manner, and to assist in the preparation of Government’s forecasts of various economic aggregates."
26,3,2008,2012,"The aim is to produce and analyse Gross Domestic Product (GDP), Gross National Product (GNP), BoP and related statistics in a timely and accurate manner, and to assist in the preparation of Government’s forecasts of various economic aggregates."
26,3,2013,2014,"The aim is to produce and analyse Gross Domestic Product (GDP), Gross National Income (GNI) (formerly known as Gross National Product (GNP)), BoP and related statistics in a timely and accurate manner, and to assist in the preparation of Government’s forecasts of various economic aggregates."
26,4,2006,2014,The aim is to provide statistical consultancy services and to maintain quality standards in statistical work.
26,5,2006,2014,"The aim is to produce and analyse price, industry and service statistics."
26,6,2006,2008,"The aim is to produce and analyse statistics on employment, vacancies, wage and manpower requirements and to maintain a Central Register of Establishments (CRE) as a sampling frame for conducting establishment surveys."
26,6,2009,2014,"The aim is to produce and analyse statistics on employment, vacancies, wage, labour earnings and manpower requirements and to maintain a Central Register of Establishments (CRE) as a sampling frame for conducting establishment surveys."
27,1,2006,2014,"The aim is to provide an effective auxiliary force to augment the Government’s regular emergency services in emergency situations, to provide civic services to government departments and outside agencies, and to provide young people with the opportunity to develop self-confidence and civic-mindfulness through participation in the Civil Aid Service (CAS) Cadet Corps."
28,1,2006,2006,"The aim is to set and enforce flight, airworthiness and air traffic management standards in compliance with international civil aviation safety requirements and to keep the relevant legislation and operational requirements up-to- date."
28,1,2007,2007,"The aim is to set and enforce flight, airworthiness and air traffic management standards in compliance with international civil aviation safety requirements, and to keep the relevant legislation and operational requirements up-to- date."
28,1,2008,2014,"The aim is to set and enforce flight and airworthiness standards in compliance with international civil aviation safety requirements, and to keep the relevant legislation and operational requirements up-to-date."
28,2,2006,2006,The aim is to set and enforce aerodrome safety and aviation security standards and to keep up-to-date the related legislation.
28,2,2007,2014,"The aim is to set and enforce aerodrome safety and aviation security standards, and to keep up-to-date the related legislation."
28,3,2006,2008,"The aim is to maintain a safe, orderly and expeditious flow of air traffic and a high standard in the provision of air navigation services and aeronautical information services, and to co-ordinate search and rescue services."
28,3,2009,2010,"The aim is to maintain a safe, orderly and expeditious flow of air traffic within the Hong Kong Flight Information Region (HKFIR) through provision of quality air navigation services and aeronautical information services, and to co-ordinate search and rescue operations in the event of aircraft accidents."
28,3,2011,2012,"The aim is to maintain a safe, orderly and expeditious flow of air traffic within the Hong Kong Flight Information Region (HKFIR) through the provision of quality air navigation services and aeronautical information services, and to co-ordinate search and rescue operations in the event of aircraft accidents."
28,3,2013,2014,"The aim is to maintain a safe, orderly and expeditious flow of air traffic within the Hong Kong Flight Information Region (HKFIR) through the provision of quality air navigation services, aeronautical information services and schedule co-ordination and slot allocation services, and to co-ordinate search and rescue operations in the event of aircraft accidents."
28,4,2006,2007,"The aim is to provide advice on technical and engineering matters, to ensure the smooth and timely completion of projects within budget and to maintain the air traffic control systems at the highest standard."
28,4,2008,2009,"The aim is to maintain the air traffic control systems at the highest standard, to ensure the smooth and timely completion of engineering projects within budget, to set and enforce air traffic management standards in compliance with international civil aviation safety requirements and to regulate the air traffic management services and operations."
28,4,2010,2010,"The aim is to maintain the air navigation services systems at the highest standard, to ensure the smooth and timely completion of engineering projects within budget, to set and enforce air navigation services standards in compliance with international civil aviation safety requirements and to regulate the air navigation services and operations."
28,4,2011,2013,"The aim is to maintain the air navigation services systems up to the highest standard, to ensure the smooth and timely completion of engineering projects within budget, to set and enforce air navigation services standards in compliance with international civil aviation safety requirements and to regulate the air navigation services and operations."
28,4,2014,2014,"The aim is to maintain the air navigation services systems up to the highest standard, and to ensure the smooth and timely completion of engineering projects within budget."
28,5,2006,2006,The aim is to implement the air services arrangements and aviation policy to enable air services to be operated to meet the demand and to promote Hong Kong as the international and regional aviation centre.
28,5,2007,2010,The aim is to implement the air services arrangements and aviation policy to enable air services to be operated to meet the demand and to promote Hong Kong as an international and regional aviation centre.
28,5,2011,2011,The aim is to implement the air services arrangements and aviation policy to enable air services to be operated to meet demand and to promote Hong Kong as an international and regional aviation centre.
